2025-10-20 14:36:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-20 15:38:35 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/verdict_type],耗时:[28]毫秒
2025-10-20 15:38:35 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/subject_type],耗时:[28]毫秒
2025-10-20 15:38:35 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/chessPieces/queryChessPiecesList],无参数
2025-10-20 15:38:35 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/scenario/queryScenarioList],无参数
2025-10-20 15:38:37 [XNIO-1 task-8] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/scenario/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:40 [XNIO-1 task-9] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/product/queryProductList],无参数
2025-10-20 15:38:43 [XNIO-1 task-10] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMap/queryArbiterMapList],无参数
2025-10-20 15:38:44 [XNIO-1 task-12] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/user/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:44 [XNIO-1 task-11] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/biz_permission],无参数
2025-10-20 15:38:44 [XNIO-1 task-11] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/biz_permission],耗时:[41]毫秒
2025-10-20 15:38:53 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMapLegend/list],耗时:[30118]毫秒
2025-10-20 15:38:57 [XNIO-1 task-11] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:57 [XNIO-1 task-13] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/user/deptTree],无参数
2025-10-20 15:38:57 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_normal_disable],无参数
2025-10-20 15:38:57 [XNIO-1 task-14] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_user_sex],无参数
2025-10-20 15:38:57 [XNIO-1 task-15] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/config/configKey/sys.user.initPassword],无参数
2025-10-20 15:38:57 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_normal_disable],耗时:[28]毫秒
2025-10-20 15:38:57 [XNIO-1 task-14] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_user_sex],耗时:[27]毫秒
2025-10-20 15:38:57 [XNIO-1 task-15] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/config/configKey/sys.user.initPassword],耗时:[45]毫秒
2025-10-20 15:38:57 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMapRiver/list],耗时:[30097]毫秒
2025-10-20 15:39:00 [XNIO-1 task-3] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMapRoad/list],耗时:[30087]毫秒
2025-10-20 15:39:03 [XNIO-1 task-4] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /app/verdictType/list],耗时:[30140]毫秒
2025-10-20 15:39:05 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/chessPieces/queryChessPiecesList],耗时:[30039]毫秒
2025-10-20 15:39:05 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/product/list],耗时:[30076]毫秒
2025-10-20 15:39:05 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/scenario/queryScenarioList],耗时:[30037]毫秒
2025-10-20 15:39:05 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/role/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:39:07 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dept/list],无参数
2025-10-20 15:39:07 [XNIO-1 task-8] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/scenario/list],耗时:[30098]毫秒
2025-10-20 15:39:08 [XNIO-1 task-8] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/sys_show_hide],无参数
2025-10-20 15:39:08 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/menu/list],无参数
2025-10-20 15:39:08 [XNIO-1 task-8] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/sys_show_hide],耗时:[26]毫秒
2025-10-20 15:39:10 [XNIO-1 task-9] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/product/queryProductList],耗时:[30033]毫秒
2025-10-20 15:39:13 [XNIO-1 task-10] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMap/queryArbiterMapList],耗时:[30044]毫秒
2025-10-20 15:39:15 [XNIO-1 task-12] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/user/list],耗时:[30120]毫秒
2025-10-20 15:39:27 [XNIO-1 task-11] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/list],耗时:[30107]毫秒
2025-10-20 15:39:27 [XNIO-1 task-13] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/user/deptTree],耗时:[30106]毫秒
2025-10-20 15:39:35 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/role/list],耗时:[30075]毫秒
2025-10-20 15:39:37 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dept/list],耗时:[30069]毫秒
2025-10-20 15:39:38 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/menu/list],耗时:[30073]毫秒
